Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,15
design__inferred_latch__count,0
design__instance__count,8495
design__instance__area,103639
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,25
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.00411462876945734
power__switching__total,0.002281068591400981
power__leakage__total,0.000003013811465280014
power__total,0.0063987113535404205
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.25997355004591327
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2618204060996099
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.12839993320898094
timing__setup__ws__corner:nom_fast_1p32V_m40C,5.963478324393632
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.128400
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,5.963478
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,25
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.26219607782619214
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2640856219563929
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6666892782095744
timing__setup__ws__corner:nom_slow_1p08V_125C,0.530230985237475
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.666689
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,0.530231
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,25
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.25970151764161087
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2628219383184495
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3218409518874847
timing__setup__ws__corner:nom_typ_1p20V_25C,3.945143878801834
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.321841
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,3.945144
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,25
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25970151764161087
clock__skew__worst_setup,0.2618204060996099
timing__hold__ws,0.12839993320898094
timing__setup__ws,0.530230985237475
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.128400
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,0.530231
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 334.175 352.895
design__core__bbox,5.76 15.12 328.32 336.42
design__io,45
design__die__area,117929
design__core__area,103639
design__instance__count__stdcell,3673
design__instance__area__stdcell,62950.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.607405
design__instance__utilization__stdcell,0.607405
design__rows,85
design__rows:CoreSite,85
design__sites,57120
design__sites:CoreSite,57120
design__instance__count__class:buffer,6
design__instance__area__class:buffer,43.5456
design__instance__count__class:inverter,276
design__instance__area__class:inverter,1502.32
design__instance__count__class:sequential_cell,562
design__instance__area__class:sequential_cell,27531.7
design__instance__count__class:multi_input_combinational_cell,1920
design__instance__area__class:multi_input_combinational_cell,22975.7
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,43
design__io__hpwl,1965082
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,2756.93
design__instance__displacement__mean,0.75
design__instance__displacement__max,12.711
route__wirelength__estimated,110804
design__violations,0
design__instance__count__class:timing_repair_buffer,859
design__instance__area__class:timing_repair_buffer,9872.15
design__instance__count__class:clock_buffer,34
design__instance__area__class:clock_buffer,910.829
design__instance__count__class:clock_inverter,16
design__instance__area__class:clock_inverter,114.307
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,401
global_route__vias,25203
global_route__wirelength,185061
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,3672
route__net__special,2
route__drc_errors__iter:0,1003
route__wirelength__iter:0,125073
route__drc_errors__iter:1,428
route__wirelength__iter:1,124299
route__drc_errors__iter:2,387
route__wirelength__iter:2,123954
route__drc_errors__iter:3,11
route__wirelength__iter:3,123800
route__drc_errors__iter:4,0
route__wirelength__iter:4,123785
route__drc_errors,0
route__wirelength,123785
route__vias,24423
route__vias__singlecut,24423
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,7
design__critical_disconnected_pin__count,0
route__wirelength__max,396.56
design__instance__count__class:fill_cell,4822
design__instance__area__class:fill_cell,40687.9
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,33
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,33
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,33
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,33
